group_id,plant_key_name,unit_key_name,type,name,power
150,玉島発電所第３号機,３号機,50,3号機,50.0
151,新小野田発電所第１号機,１号機,32,1号機,50.0
151,新小野田発電所第２号機,２号機,32,2号機,50.0
152,大崎発電所第１号１軸,単独,31,,25.9
153,宇部興産発電所,5号機,31,5号機,14.5
153,宇部興産発電所,6号,31,6号機,21.6
154,トクヤマ東発電所第3号発電所,単独,31,,30.0
155,麻里布 第２発電所,Ｇ６,90,第2G6,14.9
156,水島製油所　B工場,G8,90,B工場G8,11.24
157,水島MZ,単独,31,,11.2
158,防府バイオマス発電所,1号機,31,1号機,11.2
159,海田発電所,単独,90,,11.2
160,俣野川発電所,１号機,21,1号機,30.0
160,俣野川発電所,２号機,21,2号機,30.0
160,俣野川発電所,３号機,21,3号機,30.0
160,俣野川発電所,４号機,21,4号機,30.0
161,南原発電所,１号機,21,1号機,31.0
161,南原発電所,２号機,21,2号機,31.0
162,四国電力　伊方発電所,３号機,10,3号機,89.0
163,四国電力　坂出発電所,１号機,42,1号機,28.9
163,四国電力　坂出発電所,２号機,42,2号機,29.6
163,四国電力　坂出発電所,３号機,50,3号機,45.0
163,四国電力　坂出発電所,４号機,40,4号機,35.0
164,電源開発橘湾火力発電所,1号機,33,1号機,105.0
164,電源開発橘湾火力発電所,2号機,33,2号機,105.0
165,四国電力　阿南発電所,３号機,50,3号機,45.0
165,四国電力　阿南発電所,４号機,50,4号機,45.0
166,四国電力　西条発電所,１号機,31,1号機,50.0
166,四国電力　西条発電所,２号機,31,2号機,25.0
167,四国電力　橘湾発電所,単独,33,,70.0
168,壬生川火力発電所,１号機,31,1号機,25.0
169,土佐発電所,単独,31,,16.7
170,新居浜西火力発電所,３号機,31,3号機,15.0
171,四国電力　本川発電所,１号機,21,1号機,31.5
171,四国電力　本川発電所,２号機,21,2号機,30.0
172,玄海原子力発電所,３号機,10,3号機,118.0
172,玄海原子力発電所,４号機,10,4号機,118.0
173,川内原子力発電所,１号機,10,1号機,89.0
173,川内原子力発電所,２号機,10,2号機,89.0
174,新大分発電所,１号系列第１軸,41,1-1軸,12.0
174,新大分発電所,１号系列第２軸,41,1-2軸,12.0
174,新大分発電所,１号系列第３軸,41,1-3軸,12.0
174,新大分発電所,１号系列第４軸,41,1-4軸,12.0
174,新大分発電所,１号系列第５軸,41,1-5軸,12.0
174,新大分発電所,１号系列第６軸,41,1-6軸,12.0
175,新大分発電所,２号系列第１軸,42,2-1軸,23.0
175,新大分発電所,２号系列第２軸,42,2-2軸,23.0
175,新大分発電所,２号系列第３軸,42,2-3軸,23.0
175,新大分発電所,２号系列第４軸,42,2-4軸,23.0
175,新大分発電所,３号系列第１軸,42,3-1軸,24.5
175,新大分発電所,３号系列第２軸,42,3-2軸,24.5
175,新大分発電所,３号系列第３軸,42,3-3軸,24.5
175,新大分発電所,３号系列第４軸,44,3-4軸,50.0
176,新小倉発電所,３号機,40,3号機,60.0
176,新小倉発電所,５号機,40,5号機,60.0
177,電源開発松浦火力発電所,1号機,32,1号機,100.0
177,電源開発松浦火力発電所,2号機,33,2号機,100.0
178,電源開発松島火力発電所,1号機,32,1号機,50.0
178,電源開発松島火力発電所,2号機,32,2号機,50.0
